2016-08-02 13:09:16,804 [CustomerManager.java:Thread-0:91] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:02:15,319 [StockManager.java:Thread-0:55] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:02:31,323 [StockManager.java:Thread-0:55] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:07:08,452 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:07:10,124 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:12:03,396 [StockManager.java:Thread-0:55] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:14:30,286 [StockManager.java:Thread-0:55] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:14:37,755 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:16:08,611 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:16:10,346 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:17:32,442 [CustomerManager.java:Thread-0:91] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:17:34,208 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 16:19:24,838 [SaleManager.java:Thread-0:77] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:44:40,845 [CustomerManager.java:Thread-0:91] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:44:42,651 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:46:08,381 [SaleManager.java:Thread-0:77] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:48:44,213 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:49:10,830 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:49:18,948 [StockManager.java:Thread-0:55] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:51:51,589 [CustomerManager.java:Thread-0:91] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:51:53,215 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:52:45,175 [SupplierManager.java:Thread-0:95] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:52:46,702 [ProductManager.java:Thread-0:88] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 17:54:15,517 [StockManager.java:Thread-0:55] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
2016-08-02 18:06:22,453 [StockManager.java:Thread-0:55] - Incomplete db setup error: cli.System.IO.FileNotFoundException: Could not load file or assembly 'IKVM.OpenJDK.Security, Version=8.0.5449.1, Culture=neutral, PublicKeyToken=13235d27fcbfff58' or one of its dependencies. The system cannot find the file specified.
